姓名,url,职称,信息
沈剑,https://sise.zstu.edu.cn/info/1229/4679.htm,正高级职称,"
浙江理工大学信息科学与工程学院院长。国家优秀青年科学基金获得者，教授，博导。
研究方向为公钥密码学、区块链与数据安全等，是国家优秀青年科学基金获得者（2019），先后获教育部自然科学二等奖（排名第一）、中国密码学会优秀青年奖、江苏省计算机学会青年科技奖等科技奖励，并连续三年(2019-2021)入选全球高被引科学家榜单。近年来主持密码学、数据安全等相关领域的国家自然科学基金项目5项（其中重点项目1项）、国家基础加强计划重点基础研究项目-课题1项；在IEEE TIFS、TDSC、ACISP等国际知名期刊/会议上发表相关学术论文百余篇，其中ESI高被引论文13篇，谷歌学术引用近1万次，获ACISP 2018最佳论文奖、中科院一区JNCA期刊2019年最佳论文奖等。
人才计划与荣誉：
1. 2019年国家优秀青年科学基金获得者
2. 2020年获教育部自然科学奖二等奖（排名第一）
3. 2019年获中国密码学会优秀青年奖
4. 2020年获江苏省计算机学会青年科技奖
5. 2018年获江苏省研究生教育改革成果奖一等奖
6. 2018年获江苏省教育科学研究成果奖二等奖
"
童基均,http://dsxxcx.zstu.edu.cn/master/240,正高级职称,
赵新龙,http://dsxxcx.zstu.edu.cn/master/376,正高级职称,
高金凤,http://dsxxcx.zstu.edu.cn/master/219,正高级职称,
陈本永,http://dsxxcx.zstu.edu.cn/master/36,正高级职称,
潘海鹏,http://dsxxcx.zstu.edu.cn/master/166,正高级职称,
刘小平,http://dsxxcx.zstu.edu.cn/master/1117,正高级职称,
徐伟强,http://dsxxcx.zstu.edu.cn/master/354,正高级职称,
王英,http://dsxxcx.zstu.edu.cn/master/327,正高级职称,
郭亮,http://dsxxcx.zstu.edu.cn/master/367,正高级职称,
严利平,http://dsxxcx.zstu.edu.cn/master/245,正高级职称,
张一嘉,http://dsxxcx.zstu.edu.cn/master/940,正高级职称,
黄静,http://dsxxcx.zstu.edu.cn/master/332,正高级职称,
蒋科坚,http://dsxxcx.zstu.edu.cn/master/502,正高级职称,
顾小卫,https://sise.zstu.edu.cn/info/1229/4772.htm,正高级职称,"
浙江理工大学信息科学与工程学院教授，博导。（浙江大学计算机学院兼职教授，浙江工业大学信息工程学院兼职教授、兼职博士生导师，杭州电子科技大学网络空间安全教授，博士生导师）。
2019年浙江省科学技术进步奖一等奖获得者。

任浙江省人工智能标准化技术委员会副主任委员；
任智慧能源云管理技术联合研究中心主任；

研究方向：网络信息安全，数据治理，智慧能源管理，信息电子。
"
傅霞萍,https://sise.zstu.edu.cn/info/1229/5235.htm,正高级职称,"
测控系
"
杨涛,https://sise.zstu.edu.cn/info/1230/4761.htm,副高级职称,"
浙江理工大学信息科学与工程学院电子信息工程系专任教师。
"
李霖,https://sise.zstu.edu.cn/info/1230/4760.htm,副高级职称,"
浙江理工大学信息科学与工程学院电子信息工程系专任教师。
"
张寅孩,https://sise.zstu.edu.cn/info/1230/4735.htm,副高级职称,"
浙江理工大学信息科学与工程学院电子信息工程系专任教师。
"
姜旭升,https://sise.zstu.edu.cn/info/1230/4733.htm,副高级职称,"
浙江理工大学信息科学与工程学院电子信息工程系专任教师。
"
张水英,https://sise.zstu.edu.cn/info/1230/4732.htm,副高级职称,"
浙江理工大学信息科学与工程学院电子信息工程系专任教师。
"
赵文来,https://sise.zstu.edu.cn/info/1230/4731.htm,副高级职称,"
浙江理工大学信息科学与工程学院实验中心。
"
张益波,https://sise.zstu.edu.cn/info/1230/4730.htm,副高级职称,"
浙江理工大学信息科学与工程学院自动化系专任教师。
"
柯飂挺,https://sise.zstu.edu.cn/info/1230/4729.htm,副高级职称,"
浙江理工大学信息科学与工程学院自动化系专任教师。
"
孔艳岩,https://sise.zstu.edu.cn/info/1230/4726.htm,副高级职称,"
浙江理工大学信息科学与工程学院通信工程系专任教师。
"
戴燕云,https://sise.zstu.edu.cn/info/1230/4724.htm,副高级职称,"
浙江理工大学信息科学与工程学院通信工程系专任教师。
"
蒋路茸,http://dsxxcx.zstu.edu.cn/master/1194,副高级职称,
吴鹏,http://dsxxcx.zstu.edu.cn/master/1100,副高级职称,
吴平,http://dsxxcx.zstu.edu.cn/master/998,副高级职称,
刘瑜,http://dsxxcx.zstu.edu.cn/master/360,副高级职称,
熊卫华,http://dsxxcx.zstu.edu.cn/master/355,副高级职称,
任佳,http://dsxxcx.zstu.edu.cn/master/346,副高级职称,
武宪青,http://dsxxcx.zstu.edu.cn/master/861,副高级职称,
刘望生,http://dsxxcx.zstu.edu.cn/master/624,副高级职称,
李俊峰,http://dsxxcx.zstu.edu.cn/master/313,副高级职称,
张烈山,http://dsxxcx.zstu.edu.cn/master/1005,副高级职称,
张恩政,http://dsxxcx.zstu.edu.cn/master/860,副高级职称,
金海,http://dsxxcx.zstu.edu.cn/master/362,副高级职称,
吕文涛,http://dsxxcx.zstu.edu.cn/master/752,副高级职称,
高法钦,http://dsxxcx.zstu.edu.cn/master/454,副高级职称,
吴江,http://dsxxcx.zstu.edu.cn/master/1180,副高级职称,
张世华,https://sise.zstu.edu.cn/info/1230/5238.htm,副高级职称,"
张世华
"
顾敏明,https://sise.zstu.edu.cn/info/1230/5239.htm,副高级职称,"
顾敏明
"
楼盈天,https://sise.zstu.edu.cn/info/1230/5237.htm,副高级职称,"
楼盈天
"
吕军,https://sise.zstu.edu.cn/info/1230/5240.htm,副高级职称,"
吕军
"
