姓名,职称,资格,url,研究方向
褚家如,教授,博士生导师,https://pmpi.ustc.edu.cn//2020/0304/c19780a414013/page.htm,微机电系统技术 超精密测量 超精密天文仪器
陈向军,教授,博士生导师,https://pmpi.ustc.edu.cn//2020/0307/c19780a414125/page.htm,电子碰撞谱学和扫描探针电子能谱学 电子碰撞谱学和扫描探针电子能谱学，开展电子与气相原子分子碰撞的结构与动力学 高分辨分子轨道成像
陈杨,教授,博士生导师,https://pmpi.ustc.edu.cn//2022/0415/c19780a552008/page.htm,微纳光学 微纳光电器件 超材料与超表面
付绍军,教授,博士生导师,https://pmpi.ustc.edu.cn//2020/0307/c19780a414126/page.htm,短波光学、微光学技术和超微细加工技术研究 软X射线和真空紫外波段的衍射元件研究 无衬底自支撑的软X射线透射光栅研制
冯志华,教授,博士生导师,https://pmpi.ustc.edu.cn//2020/0304/c19780a414014/page.htm,精密传感与致动  
洪义麟,教授,硕士生导师,https://pmpi.ustc.edu.cn//2020/0307/c19780a414128/page.htm,  
胡衍雷,教授,博士生导师,https://pmpi.ustc.edu.cn//2021/1222/c19780a540342/page.htm,超快激光微纳加工技术 超精密光学制造 微纳机械与微纳机器人
刘之光,教授,博士生导师,https://pmpi.ustc.edu.cn//2024/0226/c19780a630577/page.htm,先进纳米制造 3D打印 微纳光子学
刘诚,教授,博士生导师,https://pmpi.ustc.edu.cn//2020/0304/c19780a414015/page.htm,光学遥感算法原理 光学遥感仪器光机电设计 基于天空一体化超光谱遥感的人工智能系统开发
毛磊,特任研究员,博士生导师,https://pmpi.ustc.edu.cn//2020/0304/c19780a414016/page.htm,基于振动的故障诊断技术 基于人工智能手段的故障诊断和寿命预测 燃料电池电堆的测试和运行可靠性分析
倪劲成,特任研究员,博士生导师,https://pmpi.ustc.edu.cn//2023/0314/c19780a595060/page.htm,奇点光学 激光微纳加工 微纳光学
潘挺睿,教授,博士生导师,https://pmpi.ustc.edu.cn//2022/0505/c19780a553577/page.htm,  
孙帅帅,教授,博士生导师,https://pmpi.ustc.edu.cn//2020/0922/c19780a450379/page.htm,智能材料与结构 振动与噪声控制 系统动力学
盛东,教授,博士生导师,https://pmpi.ustc.edu.cn//2020/0304/c19780a414017/page.htm,基本物理对称性测量 原子磁力仪 共磁力仪
陈宇航,副教授,硕士生导师,https://pmpi.ustc.edu.cn//2020/0307/c19781a414131/page.htm,新型原子力显微术及其纳米表征应用 微纳米测量技术以及微纳加工 
董二宝,副教授,硕士生导师,https://pmpi.ustc.edu.cn//2020/0307/c19781a414132/page.htm,人工肌肉与仿生机器人 智能移动机器人 双臂协作机器人
干方建,副教授,硕士生导师,https://pmpi.ustc.edu.cn//2020/0307/c19781a414134/page.htm,机械系统动力学  
顾永刚,副教授,,https://pmpi.ustc.edu.cn//2020/0308/c19781a414205/page.htm,  
胡红专,副教授,硕士生导师,https://pmpi.ustc.edu.cn//2020/0307/c19781a414135/page.htm,LAMOST高精度光纤定位单元关键技术研究 双回转光纤单元定位装置 并行可控式光纤定位系统
金一,副教授,,https://pmpi.ustc.edu.cn//2020/0719/c19781a439146/page.htm,计算机视觉 机器视觉与控制 智能检测及诊断
金熠,,,https://pmpi.ustc.edu.cn//2020/0307/c19781a414136/page.htm,  
金虎,,,https://pmpi.ustc.edu.cn//2024/0119/c19781a628875/page.htm,  
刘志刚,高级工程师,硕士生导师,https://pmpi.ustc.edu.cn//2020/0307/c19781a414144/page.htm,精密天文仪器 机器视觉测量 计算机软件
李为民,副教授,硕士生导师,https://pmpi.ustc.edu.cn//2020/0307/c19781a414143/page.htm,机器视觉测量：三维坐标测量 机器人视觉：无人自主小车的视觉导航、机械手视觉定位 图像处理： 图像特征检测、识别和图像融合
李保庆,副教授,硕士生导师,https://pmpi.ustc.edu.cn//2020/0307/c19781a414140/page.htm,高通量微流控皮升液滴打印技术及其在数字PCR中的应用研究 新型高带宽高空间频率复合式压电变形镜研究 214 及以上单元单压电变形镜制备及其控制技术研究
李家文,副教授,硕士生导师,https://pmpi.ustc.edu.cn//2020/0307/c19781a414137/page.htm,飞秒激光加工技术 三维生物打印技术及应用 微纳功能表面及功能器件
李木军,副教授,硕士生导师,https://pmpi.ustc.edu.cn//2020/0307/c19781a414138/page.htm,微纳结构设计、应用及其非常规加工技术 非接触式滚压印技术及其动态压模机理研究 
李永新,副教授,硕士生导师,https://pmpi.ustc.edu.cn//2020/0307/c19781a414142/page.htm,智能机器人 机械设计 精密计量技术
李晓峰,讲师,,https://pmpi.ustc.edu.cn//2020/0308/c19782a414203/page.htm,  
刘维来,讲师,,https://pmpi.ustc.edu.cn//2020/0308/c19782a414202/page.htm,  
储建华,研究员,,https://pmpi.ustc.edu.cn//2020/0311/c19784a414368/page.htm,  
陈结祥,研究员,博士生导师,https://pmpi.ustc.edu.cn//2020/0310/c19784a414305/page.htm,光学工程技术 激光测高和激光连续波测距 
冯宝林,助理研究员,,https://pmpi.ustc.edu.cn//2020/0311/c19784a414374/page.htm,机械系统虚拟样机设计 机电产品的全寿命设计 
甘为群,研究员,博士生导师,https://pmpi.ustc.edu.cn//2020/0311/c19784a414375/page.htm,太阳高能物理 空间天文探测仪器 
侯再红,研究员,博士生导师,https://pmpi.ustc.edu.cn//2020/0310/c19784a414309/page.htm,光学  
洪津,研究员,博士生导师,https://pmpi.ustc.edu.cn//2020/0311/c19784a414376/page.htm,光电技术 图像仿真及其场景模拟 
胡明勇,研究员,博士生导师,https://pmpi.ustc.edu.cn//2020/0310/c19784a414310/page.htm,光学机械设计及检测  
孔德义,研究员,博士生导师,https://pmpi.ustc.edu.cn//2020/0310/c19784a414314/page.htm,MEMS微传感器 痕量快速检测微系统 仿生降噪功能结构与器件
刘东,研究员,博士生导师,https://pmpi.ustc.edu.cn//2020/0310/c19784a414325/page.htm,激光雷达探测新技术研发及数据应用 机载、星载激光雷达系统研制 A-Train卫星序列数据分析和应用
刘文清,研究员,博士生导师,https://pmpi.ustc.edu.cn//2020/0310/c19784a414315/page.htm,环境光学监测  
李婧,副研究员,硕士生导师,https://pmpi.ustc.edu.cn//2020/0311/c19784a414372/page.htm,天体物理 太赫兹探测 超导电子学
李涛,,,https://pmpi.ustc.edu.cn//2020/0311/c19784a414370/page.htm,  
李露,研究员,,https://pmpi.ustc.edu.cn//2020/0310/c19784a414321/page.htm,  
骆敏舟,研究员,博士生导师,https://pmpi.ustc.edu.cn//2020/0310/c19784a414320/page.htm,机器人技术 先进制造 
陈超,特任副研究员,,https://pmpi.ustc.edu.cn//2021/0408/c25536a479964/page.htm,  
金虎,特任副研究员,,https://pmpi.ustc.edu.cn//2021/0408/c25536a479959/page.htm,  
马成福,特任副研究员,,https://pmpi.ustc.edu.cn//2021/0408/c25536a479961/page.htm,原子力显微镜 纳米力学表征 纳米无损检测
于亚军,特任副研究员,,https://pmpi.ustc.edu.cn//2021/0408/c25536a479965/page.htm,  
张磊,特任副研究员,,https://pmpi.ustc.edu.cn//2021/0514/c25536a506072/page.htm,光辐射定标技术 偏振成像机理与技术 光学微腔技术与应用
张磊,特任副研究员,,https://pmpi.ustc.edu.cn//2021/0408/c25536a479962/page.htm,  
朱志强,特任副研究员,,https://pmpi.ustc.edu.cn//2021/0408/c25536a479960/page.htm,  
朱苏皖,特任副研究员,,https://pmpi.ustc.edu.cn//2021/0408/c25536a479963/page.htm,  
贠国霖,博士后,,https://pmpi.ustc.edu.cn//2021/0408/c19786a479958/page.htm,  
刘松德,博士后,,https://pmpi.ustc.edu.cn//2021/0408/c19786a479957/page.htm,  
卢昀,博士后,,https://pmpi.ustc.edu.cn//2021/0408/c19786a479956/page.htm,  
戴一川,博士后,,https://pmpi.ustc.edu.cn//2021/0408/c19786a479955/page.htm,  
马托,博士后,,https://pmpi.ustc.edu.cn//2021/0408/c19786a479954/page.htm,  
姬生云,博士后,,https://pmpi.ustc.edu.cn//2021/0408/c19786a479953/page.htm,  
戴念维,博士后,,https://pmpi.ustc.edu.cn//2021/0408/c19786a479952/page.htm,  
张成歆,博士后,,https://pmpi.ustc.edu.cn//2021/0408/c19786a479951/page.htm,  
邢金玉,博士后,,https://pmpi.ustc.edu.cn//2021/0408/c19786a479950/page.htm,  
张亚超,博士后,,https://pmpi.ustc.edu.cn//2021/0408/c19786a479949/page.htm,  
高纬,博士后,,https://pmpi.ustc.edu.cn//2021/0408/c19786a479948/page.htm,  
刘炳瑞,博士后,,https://pmpi.ustc.edu.cn//2021/0408/c19786a479947/page.htm,  
杨浩,博士后,,https://pmpi.ustc.edu.cn//2021/0408/c19786a479946/page.htm,  
刘鹏,博士后研究员,,https://pmpi.ustc.edu.cn//2021/0408/c19786a479944/page.htm,  
