系,职称,姓名,链接
自动控制系,教授,曹卫华,http://grzy.cug.edu.cn/caoweihua/zh_CN/index.htm
自动控制系,教授,赖旭芝,http://grzy.cug.edu.cn/laixuzhi/zh_CN/index.htm
自动控制系,教授,何　勇,http://grzy.cug.edu.cn/heyong/zh_CN/index.htm
自动控制系,教授,方支剑,http://grzy.cug.edu.cn/fangzhijian/zh_CN/index.htm
自动控制系,教授,刘　峰,http://grzy.cug.edu.cn/liufeng/zh_CN/index.htm
自动控制系,教授,王广君,http://grzy.cug.edu.cn/wangguangjun/zh_CN/index.htm
自动控制系,教授,熊永华,http://grzy.cug.edu.cn/xiongyonghua/zh_CN/index.htm
自动控制系,教授,张传科,http://grzy.cug.edu.cn/zhangchuanke/zh_CN/index.htm
自动控制系,教授,宗小峰,http://grzy.cug.edu.cn/zongxiaofeng/zh_CN/index.htm
自动控制系,教授,姜晓伟,http://grzy.cug.edu.cn/jiangxiaowei/zh_CN/index.htm
自动控制系,教授,翟　超,http://grzy.cug.edu.cn/zhaichao/zh_CN/index.htm
自动控制系,教授,安剑奇,http://grzy.cug.edu.cn/anjianqi/zh_CN/index.htm
自动控制系,教授,万雄波,http://grzy.cug.edu.cn/wanxiongbo/zh_CN/index.htm
自动控制系,教授,王雷敏,http://grzy.cug.edu.cn/wangleimin/
自动控制系,教授,郑世祺,http://grzy.cug.edu.cn/zhengshiqi/
自动控制系,教授,仉梦林,http://grzy.cug.edu.cn/zhangmenglin/zh_CN/index.htm
自动控制系,教授,金　丽,http://grzy.cug.edu.cn/jinli/zh_CN/index.htm
自动控制系,教授,上官星辰,http://grzy.cug.edu.cn/shangguanxingchen/zh_CN/index.htm
自动控制系,副教授,李勇波,http://grzy.cug.edu.cn/liyongbo/zh_CN/index.htm
自动控制系,副教授,吴　涛,http://grzy.cug.edu.cn/wutao/zh_CN/index.htm
自动控制系,副教授,张莉君,https://au.cug.edu.cn/info/1015/2800.htm
自动控制系,副教授,陈　珺,http://grzy.cug.edu.cn/chenjun/zh_CN/index.htm
自动控制系,副教授,彭　健,http://grzy.cug.edu.cn/pengjian/zh_CN/index.htm
自动控制系,副教授,魏龙生,http://grzy.cug.edu.cn/weilongsheng/zh_CN/index.htm
自动控制系,副教授,张晶晶,http://grzy.cug.edu.cn/zhangjingjing/zh_CN/index.htm
自动控制系,副教授,丁　敏,http://grzy.cug.edu.cn/dingmin/zh_CN/index/30541/list/index.htm
自动控制系,副教授,何王勇,http://grzy.cug.edu.cn/hewangyong/zh_CN/index.htm
自动控制系,副教授,甘　超,http://grzy.cug.edu.cn/ganchao/zh_CN/index.htm
自动控制系,副教授,李丹云,http://grzy.cug.edu.cn/lidanyun/zh_CN/index.htm
自动控制系,副教授,徐　达,http://grzy.cug.edu.cn/xuda/zh_CN/index.htm
自动控制系,副教授,张　盼,http://grzy.cug.edu.cn/zhangpan/zh_CN/index.htm
自动控制系,讲师,刘　玮,http://grzy.cug.edu.cn/liuwei2/zh_CN/index.htm
自动控制系,讲师,王新梅,http://grzy.cug.edu.cn/wangxinmei/zh_CN/index.htm
自动控制系,讲师,朱冬娇,../info/1063/4963.htm
测控技术与仪器系,教授,董浩斌,http://grzy.cug.edu.cn/donghaobin/zh_CN/index.htm
测控技术与仪器系,教授,董凯锋,http://grzy.cug.edu.cn/dongkaifeng/zh_CN/index.htm
测控技术与仪器系,教授,吕　涛,http://grzy.cug.edu.cn/lvtao/zh_CN/index.htm
测控技术与仪器系,教授,葛　健,http://grzy.cug.edu.cn/gejian/zh_CN/index.htm
测控技术与仪器系,教授,刘　欢,http://grzy.cug.edu.cn/liuhuan/zh_CN/index.htm
测控技术与仪器系,副教授,晋　芳,http://grzy.cug.edu.cn/jinfang/zh_CN/index.htm
测控技术与仪器系,副教授,李志华,http://grzy.cug.edu.cn/lizhihua/zh_CN/index/38997/list/index.htm
测控技术与仪器系,副教授,宋俊磊,http://grzy.cug.edu.cn/songjunlei/zh_CN/index.htm
测控技术与仪器系,副教授,薛　伟,http://grzy.cug.edu.cn/xuewei/zh_CN/index.htm
测控技术与仪器系,副教授,宋恒力,http://grzy.cug.edu.cn/songhengli/zh_CN/index.htm
测控技术与仪器系,副教授,朱继轩,http://grzy.cug.edu.cn/zhujixuan/zh_CN/index.htm
测控技术与仪器系,副教授,谭智力,http://grzy.cug.edu.cn/tanzhili/zh_CN/index.htm
测控技术与仪器系,副教授,王庆义,http://grzy.cug.edu.cn/wangqingyi/zh_CN/index.htm
测控技术与仪器系,副教授,莫文琴,http://grzy.cug.edu.cn/mowenqin/zh_CN/index.htm
测控技术与仪器系,副教授,杨　越,http://grzy.cug.edu.cn/yangyue/zh_CN/index.htm
测控技术与仪器系,副教授,叶梦渊,http://grzy.cug.edu.cn/yemengyuan/zh_CN/index.htm
测控技术与仪器系,副教授,惠亚娟,http://grzy.cug.edu.cn/huiyajuan/zh_CN/index.htm
测控技术与仪器系,讲师,黄玉金,http://grzy.cug.edu.cn/huangyujin/zh_CN/index.htm
智能系统研究所,教授,陈　鑫,http://grzy.cug.edu.cn/chenxin/zh_CN/index.htm
智能系统研究所,教授,徐　迟,http://grzy.cug.edu.cn/xuchi/zh_CN/index.htm
智能系统研究所,教授,胡文凯,http://grzy.cug.edu.cn/huwenkai/zh_CN/index.htm
智能系统研究所,教授,陈略峰,http://grzy.cug.edu.cn/chenluefeng/zh_CN/index.htm
智能系统研究所,教授,刘　力,http://grzy.cug.edu.cn/liuli/zh_CN/index.htm
智能系统研究所,教授,胡　杰,http://grzy.cug.edu.cn/hujie/zh_CN/index.htm
智能系统研究所,教授,孟庆鑫,http://grzy.cug.edu.cn/mengqingxin/zh_CN/index.htm
智能系统研究所,教授,王亚午,http://grzy.cug.edu.cn/wangyawu/zh_CN/index.htm
智能系统研究所,教授,陆承达,http://grzy.cug.edu.cn/luchengda/zh_CN/index.htm
智能系统研究所,教授,吴俊东,https://grzy.cug.edu.cn/wujundong/zh_CN/index.htm
智能系统研究所,教授,黎育朋,https://grzy.cug.edu.cn/liyupeng/zh_CN/index.htm
智能系统研究所,教授,杜　胜,http://grzy.cug.edu.cn/dusheng/zh_CN/index.htm
智能系统研究所,副教授,袁　艳,http://grzy.cug.edu.cn/yuanyan/zh_CN/index.htm
智能系统研究所,副教授,刘振焘,http://grzy.cug.edu.cn/liuzhendao/zh_CN/index.htm
智能系统研究所,副教授,王　峰,http://grzy.cug.edu.cn/wangfeng/zh_CN/index.htm
智能系统研究所,副教授,范海鹏,http://grzy.cug.edu.cn/fanhaipeng/zh_CN/index.htm
信息技术教学实验中心,副教授,贺良华,http://grzy-cug-edu-cn.webvpn.cug.edu.cn:8118/helianghua/zh_CN/index.htm
信息技术教学实验中心,副教授,王　宏,http://grzy.cug.edu.cn/wanghong/zh_CN/index.htm
信息技术教学实验中心,副教授,余志华,http://grzy.cug.edu.cn/yuzhihua/zh_CN/index.htm
信息技术教学实验中心,副教授,刘小波,http://grzy.cug.edu.cn/liuxiaobo/zh_CN/index.htm
信息技术教学实验中心,副教授,赵　娟,http://grzy.cug.edu.cn/zhaojuan/zh_CN/index.htm
信息技术教学实验中心,讲师,王永涛,#
信息技术教学实验中心,讲师,谢桂辉,http://grzy.cug.edu.cn/xieguihui/zh_CN/index.htm
荣休人员,荣休人员,蔡　鄂,#
荣休人员,荣休人员,黄洁诚,#
荣休人员,荣休人员,李玉清,#
荣休人员,荣休人员,张艳丽,#
荣休人员,荣休人员,金　星,#
荣休人员,荣休人员,严　晶,#
荣休人员,荣休人员,徐　晖,#
荣休人员,荣休人员,陈绪诚,#
荣休人员,荣休人员,王书纯,#
